id,category,genre
35720,"2,1,9,38,39,24,27,22,28,29,30,23,17,41,42,43,44","1,25,23"
250900,"2,1,24,22,28,29,23,43,44",1
207140,"2,1,49,36,37,24,27,22,28,29,30,23,15,17,41,42,43,44","1,4,23,9,18"
224540,"1,9,27,22,29,30,17","1,23"
236110,"2,1,49,36,9,38,22,29,18","1,37,23,3,2"
65980,"2,1,22,29,30,23,42",2
466240,"1,49,36,22,29,35,18,41,42","1,37,23"
210770,"2,1,9,22,28,29,23,25,43","1,23,2"
219150,"2,22,29,18","1,23"
107100,"2,22,28,29,23,25,41,42,43","1,23,3"
15620,"2,1,9,29,23",2
391220,"2,22,28,29,23,25,41,42,43","1,25"
65300,"2,22,29,18,23,25","1,23"
65800,"2,1,9,24,22,28,30,23,8,25,41,42,43,44","1,23,3,2"
200260,"2,22,29,18,23","1,25"
299360,"2,1,22,29,30,8,15,17","1,37,29,2"
209080,"1,22,29,30,18,15","1,25,23,28"
248570,"2,1,49,36,27,22,29,35,23,17","1,37,23,2"
262410,"2,22,29,30,35","37,23,28"
70000,"1,22,29,23,8,15","1,23"
225540,"2,22,28,29,41,42,43","1,25"
355840,"1,20,49,36,9,38,22,29","1,37,29,3,70"
239030,"2,22,29,23,15,25,41,42","25,23"
286160,"2,1,49,36,37,9,38,39,24,27,22,28,29,30,23,17,44","4,23,3,28,2"
431240,"2,1,49,36,37,24,22,30,18,15,17,41,42,44","4,23,18"
35140,"2,22,29,18,23","1,25"
268500,"2,1,27,22,29,30,23,42",2
262060,"2,22,29,18,23,42","23,3,2"
34030,"2,1,22,29,15",2
261640,"2,1,9,22,28,29,23,43","1,3"
113020,"2,1,49,36,37,9,38,39,24,27,22,28,29,30,23,25,17,44","1,25,4,23,2"
360170,"2,1,49,36,37,9,38,22,28,29,23,25,43,44","1,25,3"
364360,"2,1,49,36,47,9,38,48,22,29,30","1,2"
335240,"1,20,22,29,17","37,23,29"
41070,"2,1,49,36,37,9,38,39,24,27,22,28,29,30,23,25,17,43,44","1,23"
286690,"2,22,28,29,23",1
246620,"2,1,49,36,9,38,27,22,29,30,18,23,15,25,17,42","4,23,28,2"
57690,"2,22,29","28,2"
4920,"1,49,36,22,29,30,23,8,17","1,23,2"
236850,"2,1,27,22,29,30,23","28,2"
281990,"2,1,27,22,29,30,23","28,2"
212070,"1,20,9,22,29,31,18","1,37,29,28"
214420,"1,27,22,29,18,23,25","1,37,23"
223470,"2,22,28,29,30,23,17","1,25,23"
242720,"1,9,22,29,13","1,37,23"
207230,"1,9,22,29,23,15,25","1,37,23"
233720,"2,22,29,23","1,23,28"
305620,"2,22,28,29,23,43","25,23,28,2"
274190,"2,1,49,36,37,9,38,39,24,28,17,41,42,43,44","1,25,4,23"
274940,"2,1,49,36,22,28,29,13,30,35,23,8,15,25,17","1,23"
436520,"2,1,49,36,9,38,22,29,35,8,15","1,37,23,29"
209000,"2,22,28,29,23,25","1,25"
235540,"2,1,9,38,22,29,13,18,23","1,23"
248820,"2,1,9,24,22,29,18,42,44","1,23,3"
206500,"2,1,49,36,9,38,22,29,35,18,15,25","1,37,23,2"
203290,"2,1,22,29,30,18,23,15,25,17","1,37"
238090,"2,1,9,22,28,29,23,25,43","1,25"
108710,"2,22,28,29,23,43","1,25"
234140,"2,22,28,29,23,41,42,43","1,25"
287700,"2,1,22,28,29,13,23,25,41,42,43","1,25"
268910,"2,1,9,39,24,22,28,29,23,41,42,43,44","1,23"
200170,"2,1,9,24,22,29,18,23,25,44",2
386180,"1,20,49,36,9,38,22,28,29,35,42,43","1,37,29,9"
245620,"2,1,9,27,22,29,30,23,17","3,28,2"
239820,"2,22,29,30,23,42","4,23,28,2"
285900,"1,49,36,37,24,22,28,41,42,43,44","1,25,4,23"
417860,"2,22,29","25,4,37,23,28"
435150,"2,1,49,36,37,9,38,39,24,22,28,29,13,30,23,17,42,43,44","25,3,2"
493340,"2,22,29,30,23","1,25,4,28,2"
233130,"2,22,28,29,13,23,43","1,25"
245170,"2,1,49,36,37,22,28,29,23,25,41,42,43,44","1,23"
238430,"2,1,49,36,37,9,38,39,24,22,28,29,30,23,25,17,44","1,25,23"
35700,"2,1,9,38,39,24,22,28,29,30,23,17,41,42,43,44","1,25,23"
393380,"1,49,36,29,30,18,8","1,23,2,70"
214560,"2,22,28,29,23,25,43","1,25,23"
208140,"2,1,49,36,27,22,29,23",2
236870,"2,22,28,29,23",1
326460,"2,1,49,36,37,9,38,39,24,22,29,18,15,25,17,41,42,44","1,4,23,29,2"
289130,"2,1,49,36,27,22,29,30,18,23","3,2"
34270,"2,1,9,39,28,29,30,41,42,43,44","1,25,4,3"
250400,"2,1,9,24,22,28,29,23,25,43,44","1,25,3"
269210,"2,1,49,36,37,9,38,39,24,27,22,28,29,23,43,44","1,25,23,29,3"
373420,"2,1,9,24,27,22,28,29,13,23,44","25,23,3,2"
44350,"2,1,24,22,28,29,23,8,25,43,44","9,18"
287390,"2,22,28,29,23,43",1
310380,"2,1,36,9,38,22,35,25","1,25,37,23,29,2"
244930,"2,1,49,36,27,22,28,29,31,35,23,25","37,23,28,18"
241600,"2,22,28,29,23,43","1,25,23,3"
219990,"2,1,9,38,48,22,28,29,23,42,43","1,25,23,3"
601510,"2,1,49,36,27,22,29,35","37,2"
397900,"2,1,49,36,37,9,38,39,24,27,22,29,35,25,41,42,44","4,37,23,29,2"
307780,"2,1,49,37,22,28,29,23,25,41,42,43,44",1
282440,"2,1,22,29,30,18,23,15",1
202170,"2,22,28,29","1,25"
582660,"1,20,49,36,9,38,29,35,18","1,25,29,3,28,2"
444640,"27,22,29,35,25","1,37,2"
